learning_rate,r_squared,stopped_epoch,best_epoch,best_val_loss,best_train_loss,mean_val_loss,mean_train_loss,time_taken
-0.0000000100,-0.0298158149,151.0000000000,1.0000000000,0.7272051567,0.7726627904,0.7272658314,0.7727244716,6.9714135933
-0.0000001000,-0.0497516401,151.0000000000,1.0000000000,0.7344170284,0.7787809527,0.7350756601,0.7794436740,6.7562016106
-0.0000010000,-0.0482219503,151.0000000000,1.0000000000,0.7342555571,0.7788279808,0.7420125277,0.7866175444,7.1319976139
-0.0000100000,-0.0669181472,151.0000000000,1.0000000000,0.7409468269,0.7858326769,0.9245826285,0.9651760667,6.7815161324
-0.0001000000,-0.0704399062,151.0000000000,1.0000000000,0.7424321151,0.7826952660,1889.5694847342,1851.4590380850,6.7547413254
-0.0010000000,-0.4363868863,151.0000000000,1.0000000000,0.8459655952,0.8161127293,1150458525.7988858223,1124606393.0361049175,7.2092537975
-0.0100000000,-403.7277855483,151.0000000000,1.0000000000,13.0324236679,3.0894587970,1004234190463946.7500000000,984404280280514.8750000000,6.9164053154
-0.1000000000,-165379261880.4308166504,151.0000000000,1.0000000000,256770.9859375000,24996.8247851562,764646819909141921792.0000000000,749305981256428814336.0000000000,6.8581015968
-0.5000000000,-3975617131235295232.0000000000,151.0000000000,54.0200000000,nan,49463989470531160113152.0000000000,nan,nan,6.8176137829
-1.0000000000,-17591004540235134533632.0000000000,151.0000000000,30.9000000000,nan,65171223164308816920576.0000000000,nan,nan,7.5740255880
-10.0000000000,-14326175235286676681644348410953728.0000000000,151.0000000000,6.8400000000,nan,48645075502174117560320.0000000000,nan,nan,6.9368326139
-100.0000000000,-15964961772737467545407211809003144448235798528.0000000000,151.0000000000,2.0000000000,nan,nan,nan,nan,7.5877352047
-5.0000000000,-4215093114414503077382727925760.0000000000,151.0000000000,10.3200000000,nan,51973977112310995484672.0000000000,nan,nan,7.0742979050
-50.0000000000,-6086998975606548637984353351361115732312064.0000000000,151.0000000000,2.6000000000,nan,48267096749276796026880.0000000000,nan,nan,6.9634655285
0.0000000100,-0.0332570727,5000.0000000000,5000.0000000000,0.7294026005,0.7743460113,0.7315494128,0.7764957837,238.1270710039
0.0000001000,0.0467906712,5000.0000000000,5000.0000000000,0.6955144393,0.7393558133,0.7118625921,0.7565160511,221.2998218060
0.0000010000,0.2336561688,5000.0000000000,5000.0000000000,0.6129127991,0.6472522664,0.6482893590,0.6864031229,206.4345440197
0.0000100000,0.3097068904,4963.1000000000,4941.3200000000,0.5779960263,0.5959797895,0.5924813325,0.6195548113,201.3441817808
0.0001000000,0.3163092265,1005.1000000000,855.1000000000,0.5740231180,0.5832279038,0.5832012396,0.6022025253,41.0187871981
0.0010000000,0.3216943936,326.5000000000,176.5000000000,0.5705469048,0.5759533179,0.5786117740,0.5824584553,13.7355655003
0.0100000000,0.3379195397,258.5800000000,108.5800000000,0.5644360328,0.5725250077,0.5760962703,0.5732067029,11.0631883144
0.1000000000,0.2768681404,345.7200000000,195.7200000000,0.5863253152,0.6290612316,0.6053279591,0.6418881085,14.4707904100
0.5000000000,-0.0057848495,289.4600000000,139.4600000000,0.7146501398,0.7690057456,0.7253759213,1.9644837549,12.2375941372
1.0000000000,-0.0062835055,272.6400000000,122.6400000000,0.7146934772,0.7793896806,1.5955674997,59.7931689760,11.5370476341
10.0000000000,-383.3638894185,255.6200000000,105.6200000000,3.2643403566,12.8029760563,200023.8629931958,30032377.9641716182,16.4951404476
100.0000000000,-985.0296652565,264.9400000000,114.9400000000,3.0661996901,160685288289.6264953613,445405173798.6891479492,31851817120614.4492187500,12.0584991837
5.0000000000,-0.0125192263,257.2400000000,107.2400000000,0.7176197040,1.0241770017,7289.0013131680,509517.3860612146,13.7567085218
50.0000000000,-7533795.4954492999,263.8000000000,113.8000000000,406.3583413339,38279.7134500074,1358102751.2579059601,595334605673.6585693359,16.7416648579
500.0000000000,-102496472384093749248.0000000000,596.7400000000,452.7000000000,45350977.6099684909,7634946209069.6171875000,6643771644050374.0000000000,565781323107547648.0000000000,24.2525933743
